Nummer,Name,Insgesamt,maeannlich,weiblich
05162,Rhein-Kreis Neuss,437393,211560,225833
05166,Viersen - Kreis,296175,143564,152612
05170,Wesel - Kreis,460419,223209,237211
05313,Aachen - Stadt (alt),-,-,-
05314,Bonn - Kreisfreie Stadt,305765,144456,161309
05315,K�ln - Kreisfreie Stadt,1005775,487688,518087
05316,Leverkusen - Kreisfreie Stadt,158984,76722,82262
05334,St�dteregion Aachen (einschl. Stadt Aachen),539516,267672,271843
05334002,Aachen - krfr. Stadt,236420,119946,116474
05354,Aachen - Kreis,-,-,-
05358,D�ren - Kreis,258760,127124,131637
05362,Rhein-Erft-Kreis,451514,219066,232449
05366,Euskirchen - Kreis,187940,92313,95626
05370,Heinsberg - Kreis,248161,121712,126449
05374,Oberbergischer Kreis,273011,132850,140161
05378,Rheinisch-Bergischer Kreis,278183,134372,143810
05382,Rhein-Sieg-Kreis,578252,281023,297229
05512,Bottrop - Kreisfreie Stadt,117311,56582,60729
05513,Gelsenkirchen - Kreisfreie Stadt,258766,126634,132132
05515,M�nster - Kreisfreie Stadt,289576,137991,151585
05554,Borken - Kreis,363755,180204,183550
05558,Coesfeld - Kreis,215269,105292,109977
05562,Recklinghausen - Kreis,619382,300016,319366
05566,Steinfurt - Kreis,433659,213608,220052
05570,Warendorf - Kreis,273477,133765,139712
05711,Bielefeld - Kreisfreie Stadt,326870,157311,169559
05754,G�tersloh - Kreis,350420,172971,177448
05758,Herford - Kreis,250704,121741,128963
05762,H�xter - Kreis,145678,71872,73807
05766,Lippe - Kreis,348681,168817,179864
05770,Minden-L�bbecke - Kreis,312169,152164,160005
05774,Paderborn - Kreis,294602,145738,148864
05911,Bochum - Kreisfreie Stadt,362286,173937,188349
05913,Dortmund - Kreisfreie Stadt,571143,277274,293869
05914,Hagen - Kreisfreie Stadt,187944,90563,97381
05915,Hamm - Kreisfreie Stadt,176037,85535,90502
05916,Herne - Kreisfreie Stadt,155160,74610,80550
05954,Ennepe-Ruhr-Kreis,326049,157137,168913
05958,Hochsauerlandkreis,266509,131467,135044
05962,M�rkischer Kreis,423819,206697,217121
05966,Olpe - Kreis,136491,67847,68643
05970,Siegen-Wittgenstein - Kreis,276834,135507,141327
05974,Soest - Kreis,296875,145297,151578
05978,Unna - Kreis,396060,191806,204254
06411,Darmstadt - Kreisfreie Stadt,143499,71313,72186
06412,Frankfurt am Main - Kreisfreie Stadt,667925,326928,340997
06413,Offenbach am Main - Kreisfreie Stadt,113443,55529,57914
06414,Wiesbaden - Landeshauptstadt - Kreisfreie Stadt,269121,127873,141248
06431,Bergstra�e - Landkreis,260741,127392,133349
06432,Darmstadt-Dieburg - Landkreis,282601,139106,143495
06433,Gro�-Gerau - Landkreis,251050,123534,127515
06434,Hochtaunuskreis,226130,108316,117814
06435,Main-Kinzig-Kreis,400862,195335,205527
06436,Main-Taunus-Kreis,224059,108556,115503
06437,Odenwaldkreis,96613,47447,49166
06438,Offenbach - Landkreis,332327,161926,170402
06439,Rheingau-Taunus-Kreis,180226,87828,92398
06440,Wetteraukreis,292573,143143,149430
06531,Gie�en - Landkreis,251238,122259,128979
06532,Lahn-Dill-Kreis,253441,123603,129838
06533,Limburg-Weilburg - Landkreis,170696,83913,86783
06534,Marburg-Biedenkopf - Landkreis,241226,117523,123703
06535,Vogelsbergkreis,108509,53687,54823
06611,Kassel - Kreisfreie Stadt,190765,91488,99277
06631,Fulda - Landkreis,216179,105791,110388
06632,Hersfeld-Rotenburg - Landkreis,120694,59300,61394
06633,Kassel - Landkreis,234933,114155,120778
06634,Schwalm-Eder-Kreis,181851,90065,91785
06635,Waldeck-Frankenberg - Landkreis,158990,78194,80796
06636,Werra-Mei�ner-Kreis,102124,49658,52466
07111,Koblenz - Kreisfreie Stadt,107825,51652,56173
07131,Ahrweiler - Landkreis,125883,61297,64588
07132,Altenkirchen (Westerwald) - Landkreis,130570,64263,66307
07133,Bad Kreuznach - Landkreis,155599,75262,80337
07134,Birkenfeld - Landkreis,82778,40614,42164
07135,Cochem-Zell - Landkreis,64188,31923,32264
07137,Mayen-Koblenz - Landkreis,210307,102955,107353
07138,Neuwied - Landkreis,180674,88216,92456
07140,Rhein-Hunsr�ck-Kreis,102323,50388,51934
07141,Rhein-Lahn-Kreis,123203,60524,62679
07143,Westerwaldkreis,200058,98763,101296
07211,Trier - Kreisfreie Stadt,105671,50379,55292
07231,Bernkastel-Wittlich - Landkreis,112319,55537,56783
07232,Eifelkreis Bitburg-Pr�m,95775,47499,48275
07233,Vulkaneifel - Landkreis,61947,30650,31297
07235,Trier-Saarburg - Landkreis,142228,69881,72347
07311,Frankenthal (Pfalz) - Kreisfreie Stadt,46415,22369,24046
07312,Kaiserslautern - Kreisfreie Stadt,96340,47703,48638
07313,Landau in der Pfalz - Kreisfreie Stadt,43361,20453,22908
07314,Ludwigshafen am Rhein - Kreisfreie Stadt,157584,77275,80309
07315,Mainz - Kreisfreie Stadt,200344,96250,104094
07316,Neustadt an der Weinstra�e - Kreisfreie Stadt,52164,25087,27077
07317,Pirmasens - Kreisfreie Stadt,40887,19591,21296
07318,Speyer - Kreisfreie Stadt,49540,23742,25798
07319,Worms - Kreisfreie Stadt,79207,38090,41117
07320,Zweibr�cken - Kreisfreie Stadt,34200,16767,17433
07331,Alzey-Worms - Landkreis,125112,61947,63166
07332,Bad D�rkheim - Landkreis,131085,63784,67301
07333,Donnersbergkreis,76032,37461,38569
